RespId,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,Q3_6,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6,Q5,Q30,ppage,educ,race,gender,income_cat,voter_category
470392,1,4,3,1,1,1,1,1,1,2,2,1,1,2,69,3,1,1,1,1
470393,1,3,3,1,2,1,2,2,1,2,2,2,2,3,70,1,4,2,2,3
470394,1,2,3,2,2,1,2,2,3,3,3,3,1,2,61,2,4,1,3,1
470395,1,2,3,2,2,1,1,2,4,3,4,2,1,2,81,2,4,1,3,2
470396,1,3,4,2,2,1,2,3,3,3,3,3,1,2,60,3,4,1,2,3
470397,3,4,1,1,1,3,2,2,3,2,2,2,1,1,56,2,4,2,1,1
470399,2,2,2,2,2,2,2,2,2,2,2,2,1,2,56,3,4,2,3,1
470403,1,1,1,1,1,1,1,1,1,1,1,1,2,2,67,2,1,1,1,2
480432,1,1,4,4,3,1,2,1,1,2,1,1,1,3,70,3,1,2,2,1
470405,1,1,4,4,2,1,3,2,2,2,2,2,1,2,83,1,4,2,4,1
470407,3,3,2,1,3,3,3,3,3,3,3,3,1,1,47,3,4,1,3,1
470408,4,4,1,1,2,2,2,2,3,4,3,1,1,3,77,3,2,2,2,1
470409,1,3,4,3,2,3,2,2,2,2,2,2,1,3,44,1,3,1,4,2
470411,2,2,2,2,2,2,3,1,1,1,1,1,1,3,63,3,4,2,3,1
470412,2,2,2,1,1,3,3,3,3,4,4,3,1,1,50,2,4,1,3,1
470414,3,4,3,1,3,2,1,2,1,3,3,2,1,1,58,1,4,2,4,1
470415,3,4,2,1,1,3,2,2,2,2,3,2,2,1,39,3,4,2,4,3
470416,2,4,4,1,1,2,2,2,2,2,2,2,1,2,68,1,4,1,1,1
470417,2,1,3,1,1,2,3,2,1,4,2,3,2,3,39,1,1,2,2,3
470419,2,3,2,1,2,1,1,1,1,2,1,1,1,1,83,2,4,1,1,2
470420,2,3,3,2,2,3,1,1,1,4,1,3,1,1,41,3,4,2,4,2
470421,2,3,3,1,3,2,1,1,1,4,2,1,1,1,83,3,4,1,2,1
470422,3,4,1,2,2,3,1,1,2,1,2,1,1,1,82,2,4,2,1,1
470423,3,4,1,1,1,3,1,1,1,4,1,3,1,1,48,3,2,1,3,2
470424,1,2,3,2,3,2,1,1,1,1,3,2,1,2,70,1,4,2,3,1
